,Dataflow,STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,SUBJECT,WEALTH_QUINTILE,INFRASTR,LOCATION,EDU_TYPE,SE_BKGRD,SOURCE_FUND,FUND_FLOW,IMM_STATUS,REF_AREA,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,FREQ,DECIMALS
45,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS,2015,9.50675,0,E,A,5
46,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS,2016,9.62755,0,E,A,5
47,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS,2017,9.68468,0,E,A,5
48,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS,2018,9.66901,0,E,A,5
49,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2005,12.80991,0,E,A,5
50,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2006,12.85487,0,E,A,5
51,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2007,10.91832,0,E,A,5
52,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2008,11.13066,0,E,A,5
53,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2009,10.403260000000001,0,E,A,5
54,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2010,10.2243,0,E,A,5
55,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2011,10.202539999999999,0,E,A,5
56,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2012,10.19275,0,E,A,5
57,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2013,10.14056,0,E,A,5
58,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2014,9.73959,0,E,A,5
59,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2015,9.39725,0,E,A,5
60,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2016,9.52003,0,E,A,5
61,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2017,9.59077,0,E,A,5
62,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_EAS_PAC,2018,9.57974,0,E,A,5
63,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2005,6.211180000000001,0,E,A,5
64,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2006,5.824330000000001,0,E,A,5
65,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2007,5.83407,0,E,A,5
66,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2008,5.5323,0,E,A,5
67,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2009,5.27579,0,E,A,5
68,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2010,4.92898,0,E,A,5
69,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2011,4.6963099999999995,0,E,A,5
70,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2012,4.63333,0,E,A,5
71,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2013,4.6586,0,A,A,5
72,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2014,4.33767,0,A,A,5
73,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2015,4.0829,0,A,A,5
74,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2016,4.40954,0,A,A,5
75,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2017,5.12669,0,A,A,5
76,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_PAC,2018,5.4291599999999995,0,E,A,5
77,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2005,31.78335,0,E,A,5
78,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2006,30.10463,0,E,A,5
79,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2007,28.15799,0,E,A,5
80,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2008,27.10347,0,E,A,5
81,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2009,26.84269,0,E,A,5
82,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2010,24.64549,0,E,A,5
83,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2011,23.23519,0,E,A,5
84,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2012,21.12283,0,E,A,5
85,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2013,19.99912,0,A,A,5
86,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2014,19.50573,0,E,A,5
87,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2015,16.71619,0,E,A,5
88,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2016,16.072589999999998,0,E,A,5
89,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2017,15.774610000000001,0,E,A,5
90,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AIMS_SAS_WAS,2018,15.17475,0,E,A,5
91,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AL,2013,5.42662,0,E,A,5
92,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AL,2014,5.24218,0,E,A,5
93,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AL,2015,3.05841,0,A,A,5
94,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AL,2016,5.17389,0,E,A,5
95,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AL,2017,6.07264,0,E,A,5
96,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AL,2018,3.0568,0,A,A,5
97,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AM,2005,6.05935,0,A,A,5
98,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AM,2006,6.21007,0,A,A,5
99,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AM,2007,5.43893,0,A,A,5
100,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AM,2009,2.05745,0,E,A,5
101,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AM,2010,2.48381,0,E,A,5
102,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AM,2011,5.25777,0,A,A,5
103,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AM,2016,6.797510000000001,0,A,A,5
104,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AM,2017,7.371410000000001,0,E,A,5
105,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AM,2018,8.214789999999999,0,A,A,5
106,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AO,2008,25.70169,0,A,A,5
107,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AO,2009,25.94461,0,A,A,5
108,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AO,2010,23.608320000000003,0,E,A,5
109,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AR,2005,2.01693,0,A,A,5
110,UNESCO:SDG4(2.0),ROFST,PT,L2,_T,_T,SCH_AGE_GROUP,_T,INST_T,_Z,_T,_Z,_Z,_Z,_T,_T,_Z,_Z,_Z,AR,2006,3.1017099999999997,0,A,A,5
